feature_id,delta,mean_safe,mean_innov,std_safe,std_innov,effect_size_d
6567,-0.32470626,0.0,0.32470626,0.0,4.6829824,-0.08688097
1139,-0.32500586,0.0,0.32500586,0.0,4.6872926,-0.08688117
9920,-0.3252016,0.076151215,0.40135282,0.83071154,4.7006803,-0.08592442
4142,-0.32520258,0.0,0.32520258,0.0,4.690149,-0.08688082
4013,-0.32532978,0.0,0.32532978,0.0,4.691979,-0.08688089
14200,-0.32564798,0.0,0.32564798,0.0,4.696557,-0.0868811
6617,-0.32585797,0.0,0.32585797,0.0,4.3399,-0.09408169
5808,-0.3260585,0.0,0.3260585,0.0,4.70249,-0.08688087
11689,-0.32651597,0.0,0.32651597,0.0,4.709071,-0.086881176
11187,-0.32675177,0.06243971,0.38919148,0.6811367,5.6129947,-0.07263812
15691,-0.326767,0.0,0.326767,0.0,4.7127094,-0.08688084
7724,-0.3267989,0.0,0.3267989,0.0,4.713168,-0.08688087
15624,-0.32697013,0.0,0.32697013,0.0,4.7156315,-0.08688099
1189,-0.3269892,0.0,0.3269892,0.0,4.715906,-0.08688099
5769,-0.32699904,0.0,0.32699904,0.0,4.716048,-0.086881
14166,-0.32712984,0.1239753,0.45110515,0.971737,3.009454,-0.1323281
13916,-0.32767147,0.0,0.32767147,0.0,4.7257476,-0.08688095
9509,-0.32787025,0.0,0.32787025,0.0,3.1775775,-0.12928922
14032,-0.32817507,1.2288477,1.5570228,2.3173003,2.4281178,-0.1373993
2416,-0.3282112,0.0797149,0.40792608,0.61231875,3.9536483,-0.103314884
10826,-0.32826757,0.105091244,0.43335882,0.8080716,2.0393298,-0.19323368
9302,-0.32844967,0.0,0.32844967,0.0,4.73697,-0.08688098
11578,-0.32849252,0.0518287,0.38032123,0.5653839,2.286811,-0.17693514
6351,-0.32871753,0.0,0.32871753,0.0,4.7408237,-0.086881146
12351,-0.32887855,0.0,0.32887855,0.0,4.7431664,-0.08688078
1000,-0.32909894,0.04266793,0.37176687,0.4654515,3.5691657,-0.11497972
1681,-0.32923675,2.2733152,2.602552,4.013676,5.9905863,-0.06144963
